epoch,train_loss,val_mae,val_rmse,val_r2,lr
1,3.604327,1.8288,2.1171,-0.8832,0.001
2,1.997587,1.2789,1.6104,-0.0896,0.001
3,1.515004,1.2204,1.4593,0.1052,0.001
4,1.0635,1.145,1.3934,0.1843,0.001
5,0.943296,1.0683,1.3131,0.2756,0.001
6,0.741628,0.9635,1.1807,0.4143,0.001
7,0.72776,0.8779,1.0949,0.4964,0.001
8,0.634093,0.8067,1.0017,0.5784,0.001
9,0.574047,0.8013,1.0253,0.5583,0.001
10,0.489485,0.6158,0.8697,0.6822,0.001
11,0.442685,0.6044,0.8919,0.6658,0.001
12,0.356798,0.6332,0.9202,0.6442,0.001
13,0.423509,0.6276,0.9609,0.6121,0.001
14,0.480007,0.6212,0.9815,0.5952,0.001
15,0.359855,0.6595,0.9629,0.6104,0.001
16,0.286553,0.646,0.9655,0.6084,0.001
17,0.378439,0.6272,0.9379,0.6304,0.001
18,0.33287,0.6507,0.9755,0.6002,0.001
19,0.224894,0.6872,1.0533,0.5339,0.001
20,0.197088,0.6327,1.0474,0.5391,0.001
21,0.219581,0.5988,1.0213,0.5617,0.001
22,0.21547,0.671,1.0298,0.5544,0.001
23,0.24982,0.6014,0.9726,0.6025,0.001
24,0.283909,0.6282,1.0064,0.5745,0.001
25,0.343559,0.6075,1.0276,0.5564,0.001
26,0.270304,0.6322,1.0177,0.5649,0.001
27,0.26721,0.6813,1.0393,0.5462,0.001
28,0.285654,0.6452,1.0396,0.5459,0.001
29,0.125179,0.6467,1.0526,0.5345,0.001
30,0.145123,0.7092,1.1291,0.4644,0.001
31,0.190789,0.62,1.046,0.5403,0.001
32,0.16441,0.6375,1.0725,0.5167,0.001
33,0.196138,0.7612,1.1236,0.4696,0.001
34,0.175526,0.7113,1.1313,0.4623,0.001
35,0.170501,0.6888,1.1149,0.4778,0.001
36,0.134586,0.6323,1.0661,0.5225,0.001
37,0.148204,0.6433,1.0546,0.5327,0.0005
38,0.21656,0.6361,1.0563,0.5312,0.0005
39,0.108887,0.6471,1.0789,0.5109,0.0005
40,0.087778,0.6587,1.1218,0.4713,0.0005
41,0.052964,0.6658,1.1156,0.4771,0.0005
42,0.087764,0.6438,1.0899,0.5009,0.0005
43,0.220563,0.6697,1.1021,0.4896,0.0005
44,0.085236,0.6698,1.0952,0.496,0.0005
45,0.148957,0.667,1.0985,0.493,0.0005
46,0.08192,0.6606,1.0907,0.5002,0.0005
47,0.068818,0.6633,1.1112,0.4812,0.0005
48,0.180529,0.638,1.1262,0.4671,0.0005
49,0.161605,0.7349,1.2551,0.3381,0.0005
50,0.074818,0.7504,1.166,0.4288,0.0005
51,0.229472,0.6385,1.0854,0.5051,0.0005
