epoch,train_loss,val_mae,val_rmse,val_r2,lr
1,3.604327,1.8288,2.1172,-0.8834,0.001
2,1.997588,1.2788,1.6103,-0.0895,0.001
3,1.515004,1.2203,1.4593,0.1052,0.001
4,1.0635,1.1449,1.3933,0.1843,0.001
5,0.943296,1.0683,1.3132,0.2755,0.001
6,0.741628,0.9636,1.1808,0.4142,0.001
7,0.72776,0.8776,1.0945,0.4967,0.001
8,0.634093,0.8085,1.0038,0.5766,0.001
9,0.574047,0.801,1.025,0.5586,0.001
10,0.489485,0.6143,0.8682,0.6833,0.001
11,0.442685,0.6067,0.8915,0.6661,0.001
12,0.356798,0.6309,0.9187,0.6454,0.001
13,0.423509,0.6282,0.9612,0.6119,0.001
14,0.480007,0.6209,0.9815,0.5952,0.001
15,0.359855,0.6597,0.963,0.6104,0.001
16,0.286553,0.6457,0.9654,0.6084,0.001
17,0.378439,0.627,0.9378,0.6305,0.001
18,0.33287,0.651,0.9758,0.5999,0.001
19,0.224894,0.6841,1.0502,0.5366,0.001
20,0.197088,0.6327,1.0474,0.5391,0.001
21,0.219581,0.5987,1.0219,0.5613,0.001
22,0.21547,0.667,1.0272,0.5567,0.001
23,0.24982,0.6017,0.9726,0.6026,0.001
24,0.283909,0.628,1.0063,0.5745,0.001
25,0.343559,0.6077,1.0276,0.5563,0.001
26,0.270304,0.6313,1.0171,0.5654,0.001
27,0.267209,0.682,1.0397,0.5458,0.001
28,0.285654,0.6449,1.0397,0.5458,0.001
29,0.125179,0.6463,1.0521,0.5349,0.001
30,0.145123,0.7087,1.1289,0.4645,0.001
31,0.190789,0.6202,1.0465,0.5399,0.001
32,0.16441,0.6379,1.0727,0.5165,0.001
33,0.196138,0.7595,1.122,0.4711,0.001
34,0.175526,0.7121,1.1321,0.4615,0.001
35,0.170501,0.688,1.114,0.4786,0.001
36,0.134586,0.6324,1.0668,0.5218,0.001
37,0.148204,0.6438,1.0547,0.5327,0.0005
38,0.21656,0.6364,1.0564,0.5311,0.0005
39,0.108887,0.6474,1.0788,0.511,0.0005
40,0.087778,0.6589,1.1219,0.4712,0.0005
41,0.052965,0.6658,1.1152,0.4775,0.0005
42,0.087764,0.6438,1.09,0.5008,0.0005
43,0.220563,0.6699,1.1023,0.4895,0.0005
44,0.085236,0.6696,1.0952,0.496,0.0005
45,0.148957,0.6663,1.098,0.4935,0.0005
46,0.08192,0.6607,1.0906,0.5002,0.0005
47,0.068818,0.6638,1.1117,0.4808,0.0005
48,0.180529,0.6383,1.1266,0.4667,0.0005
49,0.161605,0.7359,1.2558,0.3374,0.0005
50,0.074818,0.7514,1.1666,0.4282,0.0005
51,0.229472,0.6385,1.0853,0.5051,0.0005
