epoch,train_loss,val_mae,val_rmse,val_r2
1,3.561802,1.1955,1.4826,0.0626
2,2.719746,1.1564,1.4153,0.1458
3,2.642012,1.1349,1.3681,0.2018
4,2.452449,1.0762,1.3198,0.2572
5,2.209403,1.0243,1.2958,0.284
6,1.825684,0.9361,1.1374,0.4483
7,1.420999,0.8329,1.0304,0.5472
8,1.234199,0.84,1.0495,0.5303
9,1.102342,0.7973,0.9833,0.5877
10,0.947471,0.7186,0.9372,0.6255
11,0.867561,0.7404,0.9318,0.6297
12,0.811477,0.7173,0.9072,0.649
13,0.711892,0.6715,0.9085,0.648
14,0.705539,0.6058,0.8508,0.6913
15,0.612931,0.6327,0.8714,0.6762
16,0.591613,0.6849,0.9166,0.6417
17,0.621174,0.6522,0.8877,0.6639
18,0.548534,0.5941,0.8369,0.7013
19,0.518951,0.6028,0.8673,0.6792
20,0.522315,0.6373,0.8868,0.6646
21,0.50486,0.6298,0.8569,0.6869
22,0.452046,0.642,0.8607,0.6841
23,0.438284,0.623,0.84,0.6991
24,0.461821,0.6527,0.9059,0.6501
25,0.473256,0.6626,0.8895,0.6626
26,0.384029,0.6116,0.8384,0.7003
27,0.329057,0.6641,0.9013,0.6536
28,0.366296,0.6322,0.8424,0.6974
