epoch,train_loss,val_mae,val_rmse,val_r2
1,1.838378,0.7953,1.0869,0.4963
2,0.46651,0.6564,1.0933,0.4903
3,0.442036,0.6876,1.0532,0.527
4,0.350191,0.6884,1.0758,0.5065
5,0.361974,0.6329,1.0409,0.5379
6,0.389488,0.6678,1.0842,0.4987
7,0.280627,0.6201,1.026,0.5511
8,0.304427,0.7084,1.0847,0.4983
9,0.233438,0.5865,0.9756,0.5941
10,0.210701,0.6369,0.9996,0.5739
11,0.277122,0.6189,1.0384,0.5402
12,0.254583,0.5966,0.9734,0.596
13,0.208599,0.6953,1.0646,0.5167
14,0.175951,0.6334,1.0603,0.5206
15,0.178087,0.6387,1.0318,0.546
16,0.229037,0.633,1.0126,0.5628
17,0.228468,0.7069,1.0322,0.5456
18,0.214995,0.7044,1.0604,0.5205
19,0.193284,0.6052,0.9844,0.5868
20,0.158628,0.6419,0.9966,0.5765
21,0.186286,0.6117,0.9877,0.584
22,0.215974,0.5933,1.0084,0.5664
23,0.184151,0.6189,0.9932,0.5793
24,0.147916,0.6689,1.0813,0.5014
