epoch,train_loss,val_mae,val_rmse,val_r2
1,1.615283,0.7179,1.0673,0.5142
2,0.495519,0.6497,1.0399,0.5389
3,0.525072,0.5998,1.0134,0.5621
4,0.330953,0.6908,1.0928,0.4907
5,0.370111,0.6309,1.06,0.5209
6,0.283971,0.58,1.0195,0.5568
7,0.24174,0.6726,1.0785,0.504
8,0.301594,0.6881,1.0623,0.5188
9,0.269704,0.6502,1.0391,0.5396
10,0.24579,0.6208,1.0186,0.5576
11,0.212454,0.6603,1.0391,0.5396
12,0.246964,0.6281,1.0262,0.5509
13,0.18855,0.6621,1.0628,0.5183
14,0.193583,0.6157,1.0294,0.5481
15,0.193031,0.6244,1.0214,0.5551
16,0.214895,0.5798,0.9624,0.605
17,0.190632,0.6775,1.0671,0.5144
18,0.17366,0.6581,1.022,0.5546
19,0.196731,0.6284,0.9821,0.5887
20,0.158137,0.6652,1.0327,0.5452
21,0.220942,0.7768,1.1326,0.453
22,0.229896,0.6659,1.0479,0.5317
23,0.273306,0.6128,1.0153,0.5604
24,0.22433,0.55,0.9158,0.6423
25,0.201018,0.6201,1.0388,0.5399
26,0.13151,0.5611,0.9601,0.6069
27,0.171725,0.734,1.0765,0.5058
28,0.194598,0.6722,1.0322,0.5457
29,0.139302,0.5673,0.9619,0.6055
30,0.116432,0.6308,0.9789,0.5913
31,0.130309,0.5426,0.9492,0.6158
32,0.15434,0.5856,0.9646,0.6032
33,0.16036,0.5799,0.9598,0.6072
34,0.156719,0.5938,0.9541,0.6118
35,0.116634,0.6307,0.9808,0.5898
36,0.10459,0.6406,1.012,0.5633
37,0.097755,0.616,0.9765,0.5933
38,0.138075,0.583,0.9401,0.6231
39,0.101315,0.5727,0.9262,0.6341
40,0.109774,0.6447,0.9918,0.5805
41,0.112759,0.5907,0.938,0.6248
42,0.126378,0.6675,1.0121,0.5632
43,0.104048,0.5879,0.917,0.6414
44,0.092005,0.5961,0.8846,0.6663
45,0.106861,0.6243,0.9597,0.6072
46,0.107879,0.5812,0.9106,0.6464
