epoch,train_loss,train_acc,val_loss,val_s2t_acc,val_t2s_acc,val_acc,val_pos_sim,temperature
1,4.8512,0.0078,3.985,0.0741,0.037,0.0556,0.0519,0.07
2,4.8457,0.0273,3.9811,0.037,0.0556,0.0463,0.1617,0.07
3,4.8414,0.0254,3.978,0.0741,0.037,0.0556,0.2371,0.0701
4,4.837,0.0215,3.975,0.0556,0.037,0.0463,0.2893,0.0702
5,4.8321,0.0293,3.9721,0.0185,0.037,0.0278,0.3413,0.0703
6,4.8297,0.0215,3.967,0.037,0.0185,0.0278,0.4196,0.0703
7,4.8247,0.0273,3.9629,0.0556,0.0556,0.0556,0.4809,0.0704
8,4.8208,0.0312,3.9583,0.037,0.037,0.037,0.5702,0.0705
9,4.8151,0.0508,3.9539,0.037,0.0556,0.0463,0.6215,0.0706
10,4.8072,0.0664,3.9519,0.0926,0.0556,0.0741,0.6515,0.0706
11,4.8067,0.0801,3.9498,0.1852,0.0741,0.1296,0.6467,0.0707
12,4.8057,0.125,3.9486,0.2407,0.1111,0.1759,0.6113,0.0708
13,4.8017,0.1406,3.9488,0.2037,0.0741,0.1389,0.6172,0.0709
14,4.8018,0.1543,3.9493,0.2593,0.0741,0.1667,0.6016,0.071
15,4.799,0.1309,3.9459,0.2222,0.1481,0.1852,0.6438,0.0711
16,4.8002,0.1543,3.944,0.2593,0.1296,0.1944,0.6674,0.0712
17,4.8009,0.1738,3.9429,0.2222,0.1481,0.1852,0.6945,0.0713
18,4.7969,0.1758,3.9442,0.2778,0.1296,0.2037,0.6669,0.0713
19,4.8001,0.1621,3.9443,0.3148,0.1667,0.2407,0.6632,0.0714
20,4.795,0.2188,3.9407,0.2407,0.1852,0.213,0.7193,0.0715
21,4.7956,0.2285,3.9382,0.3519,0.2222,0.287,0.7518,0.0716
22,4.7967,0.2168,3.9376,0.4259,0.2222,0.3241,0.7542,0.0717
23,4.7944,0.2422,3.9382,0.3889,0.2222,0.3056,0.7382,0.0718
24,4.7931,0.2129,3.9391,0.3704,0.2407,0.3056,0.7192,0.0719
25,4.7943,0.2285,3.9377,0.4259,0.2037,0.3148,0.7434,0.072
26,4.7923,0.2617,3.9381,0.4815,0.1667,0.3241,0.7373,0.0721
27,4.7918,0.2129,3.9376,0.463,0.2407,0.3519,0.7474,0.0722
28,4.7922,0.2539,3.9377,0.4259,0.2778,0.3519,0.7465,0.0722
29,4.7945,0.2383,3.9361,0.4444,0.2778,0.3611,0.7761,0.0723
30,4.791,0.2832,3.9359,0.4444,0.2778,0.3611,0.7947,0.0724
31,4.7929,0.2344,3.9363,0.3889,0.2778,0.3333,0.8003,0.0725
32,4.7914,0.25,3.9353,0.4815,0.2593,0.3704,0.8008,0.0726
33,4.7885,0.2734,3.9385,0.3889,0.2407,0.3148,0.7278,0.0727
34,4.7916,0.3008,3.9356,0.4815,0.2778,0.3796,0.774,0.0728
35,4.7932,0.293,3.9349,0.5185,0.3148,0.4167,0.7987,0.0729
36,4.7894,0.2871,3.9357,0.463,0.2778,0.3704,0.7879,0.073
37,4.7911,0.2539,3.9343,0.5185,0.2778,0.3981,0.8011,0.0731
38,4.7903,0.3223,3.9345,0.463,0.2963,0.3796,0.7901,0.0731
39,4.7891,0.3105,3.9347,0.4444,0.2963,0.3704,0.783,0.0732
40,4.792,0.2949,3.933,0.5185,0.3148,0.4167,0.8178,0.0733
41,4.7884,0.3477,3.933,0.5,0.3333,0.4167,0.827,0.0734
42,4.788,0.2734,3.9323,0.5,0.2963,0.3981,0.8358,0.0735
43,4.7875,0.3516,3.9316,0.463,0.3148,0.3889,0.8428,0.0736
44,4.7865,0.3262,3.9321,0.5,0.3148,0.4074,0.8311,0.0737
45,4.7864,0.377,3.932,0.5,0.2778,0.3889,0.8305,0.0738
46,4.7842,0.3379,3.931,0.537,0.3148,0.4259,0.8466,0.0739
47,4.7869,0.3379,3.9305,0.5741,0.2778,0.4259,0.8561,0.074
48,4.7869,0.3613,3.9306,0.5,0.2963,0.3981,0.8559,0.074
49,4.786,0.3633,3.9304,0.4815,0.3148,0.3981,0.8556,0.0741
50,4.7855,0.375,3.9305,0.463,0.3148,0.3889,0.8454,0.0742
51,4.7858,0.3535,3.93,0.463,0.3333,0.3981,0.8512,0.0743
52,4.7852,0.3711,3.9296,0.5,0.3519,0.4259,0.8568,0.0744
53,4.7835,0.3535,3.9295,0.537,0.3519,0.4444,0.8588,0.0745
54,4.7847,0.373,3.93,0.537,0.3519,0.4444,0.8541,0.0746
55,4.7838,0.3945,3.9296,0.537,0.3148,0.4259,0.856,0.0747
56,4.7875,0.3672,3.9304,0.537,0.2963,0.4167,0.8453,0.0748
57,4.7834,0.416,3.9301,0.5185,0.2963,0.4074,0.8527,0.0749
58,4.7857,0.3691,3.9302,0.5185,0.3333,0.4259,0.8525,0.0749
59,4.7843,0.3457,3.9301,0.5556,0.3333,0.4444,0.8506,0.075
60,4.7839,0.3965,3.9307,0.537,0.3333,0.4352,0.8344,0.0751
61,4.7863,0.3672,3.9302,0.5741,0.3333,0.4537,0.8446,0.0752
62,4.7834,0.4082,3.93,0.5,0.4074,0.4537,0.8479,0.0753
63,4.7841,0.3711,3.9299,0.4444,0.4259,0.4352,0.8472,0.0754
64,4.7845,0.3965,3.9295,0.537,0.3889,0.463,0.8504,0.0755
65,4.7839,0.4297,3.9293,0.5556,0.4259,0.4907,0.8517,0.0756
66,4.7825,0.4141,3.9292,0.5556,0.4074,0.4815,0.8487,0.0757
67,4.783,0.4473,3.9292,0.537,0.4074,0.4722,0.8466,0.0758
68,4.7841,0.4121,3.9287,0.5741,0.3519,0.463,0.8614,0.0758
69,4.7844,0.3887,3.9287,0.537,0.3333,0.4352,0.8623,0.0759
70,4.7816,0.4238,3.928,0.6111,0.3889,0.5,0.8684,0.076
71,4.7834,0.4277,3.9282,0.5741,0.4259,0.5,0.8636,0.0761
72,4.7848,0.3906,3.9282,0.5926,0.4074,0.5,0.8669,0.0762
73,4.7837,0.4551,3.9283,0.5741,0.4259,0.5,0.8669,0.0763
74,4.7851,0.3965,3.9288,0.5185,0.3889,0.4537,0.8606,0.0764
75,4.7835,0.3945,3.928,0.537,0.4259,0.4815,0.8663,0.0765
76,4.7836,0.3906,3.9275,0.5185,0.4444,0.4815,0.8674,0.0766
77,4.7814,0.4023,3.9282,0.5185,0.4259,0.4722,0.8501,0.0767
78,4.7829,0.3887,3.9283,0.5185,0.4074,0.463,0.8478,0.0767
79,4.7836,0.3926,3.9273,0.5741,0.4074,0.4907,0.867,0.0768
80,4.7814,0.4297,3.9275,0.5741,0.4259,0.5,0.8691,0.0769
81,4.7837,0.3965,3.9284,0.5556,0.3519,0.4537,0.8604,0.077
