epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.327639,0.119708,0.693103,0.409804,0.5871,0.9842,0.5869,0.7963,5.208333333333334e-06
2,0.312192,0.104347,0.692818,0.408933,0.5891,0.9841,0.587,0.7963,1.0208333333333334e-05
3,0.324554,0.116954,0.691999,0.452091,0.6834,1.0454,0.534,0.7963,1.5208333333333333e-05
4,0.319667,0.112586,0.690271,0.410995,0.6019,0.9785,0.5917,0.7963,2.0208333333333334e-05
5,0.303008,0.09716,0.686159,0.419222,0.6162,1.0046,0.5696,0.8148,2.5208333333333334e-05
6,0.319083,0.115906,0.677257,0.459895,0.7166,1.0737,0.5084,0.8333,3.0208333333333334e-05
7,0.294861,0.097254,0.65869,0.417702,0.638,1.0282,0.5491,0.8333,3.520833333333334e-05
8,0.288409,0.099751,0.628861,0.415235,0.6548,1.053,0.5271,0.8148,4.020833333333334e-05
9,0.285452,0.109367,0.586952,0.371972,0.5912,0.9999,0.5736,0.8333,4.520833333333334e-05
10,0.25302,0.094277,0.529144,0.400407,0.683,1.075,0.5072,0.8148,5.020833333333333e-05
11,0.232244,0.091942,0.467674,0.35887,0.6109,1.0116,0.5636,0.8889,5.520833333333334e-05
12,0.218407,0.096555,0.406174,0.357119,0.6199,1.0715,0.5104,0.8333,6.020833333333333e-05
13,0.203694,0.097739,0.353183,0.345697,0.6268,1.0634,0.5178,0.8519,6.520833333333334e-05
14,0.190886,0.09675,0.313786,0.40022,0.7216,1.1004,0.4836,0.8148,7.020833333333334e-05
15,0.194669,0.107493,0.290585,0.336309,0.6294,1.0482,0.5314,0.8704,7.520833333333334e-05
16,0.172855,0.093965,0.262967,0.349677,0.6778,1.0508,0.5291,0.8704,8.020833333333334e-05
17,0.147832,0.081629,0.220677,0.36216,0.6664,1.086,0.497,0.8704,8.520833333333334e-05
18,0.150691,0.088822,0.206229,0.350348,0.6717,1.0477,0.5319,0.8704,9.020833333333334e-05
19,0.162791,0.099523,0.210894,0.368323,0.6847,1.091,0.4924,0.8333,9.520833333333333e-05
20,0.168897,0.112113,0.189282,0.439339,0.807,1.1862,0.4,0.8333,0.0001
21,0.166432,0.107066,0.197887,0.396629,0.7231,1.1306,0.4549,0.8333,9.999238475781957e-05
22,0.130317,0.08349,0.156091,0.363497,0.6809,1.0656,0.5158,0.8519,9.99695413509548e-05
23,0.119448,0.082531,0.123059,0.424073,0.7499,1.1198,0.4653,0.8519,9.99314767377287e-05
24,0.110004,0.078155,0.106164,0.364531,0.6667,1.0461,0.5334,0.8704,9.987820251299122e-05
25,0.119248,0.079001,0.134158,0.377351,0.6443,1.042,0.537,0.8333,9.980973490458728e-05
26,0.102328,0.074346,0.093272,0.369881,0.6797,1.0384,0.5402,0.8519,9.972609476841367e-05
27,0.11613,0.079345,0.122616,0.361074,0.6485,1.07,0.5118,0.8704,9.962730758206611e-05
28,0.126228,0.096154,0.100249,0.376311,0.6932,1.0752,0.507,0.8519,9.951340343707852e-05
29,0.098893,0.075558,0.077782,0.332389,0.6416,0.9915,0.5808,0.8889,9.938441702975689e-05
30,0.102517,0.07546,0.090189,0.419148,0.7688,1.1031,0.4811,0.8704,9.924038765061042e-05
31,0.106877,0.089519,0.057861,0.382492,0.7297,1.102,0.4821,0.8704,9.908135917238321e-05
