epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.818661,0.610728,0.693109,0.867446,1.5523,2.016,-0.7333,0.7963,5.208333333333334e-06
2,0.737962,0.530109,0.692843,0.69362,1.1926,1.587,-0.0741,0.7963,1.0208333333333334e-05
3,0.615956,0.408313,0.692144,0.534485,0.8664,1.171,0.4153,0.7963,1.5208333333333333e-05
4,0.517308,0.310136,0.690575,0.439302,0.6555,0.9622,0.6052,0.7963,2.0208333333333334e-05
5,0.411295,0.205112,0.687274,0.414098,0.6161,0.9328,0.629,0.7963,2.5208333333333334e-05
6,0.381764,0.177635,0.680429,0.427142,0.6463,0.9714,0.5976,0.7963,3.0208333333333334e-05
7,0.36152,0.16133,0.667298,0.425681,0.6614,1.0173,0.5586,0.7963,3.520833333333334e-05
8,0.3451,0.150856,0.647481,0.40822,0.631,1.0065,0.568,0.7963,4.020833333333334e-05
9,0.345409,0.160622,0.615956,0.413243,0.675,1.0171,0.5588,0.7963,4.520833333333334e-05
10,0.30772,0.136012,0.572359,0.42287,0.7152,1.1009,0.4831,0.8148,5.020833333333333e-05
11,0.308402,0.151954,0.521493,0.438597,0.7653,1.1049,0.4794,0.8704,5.520833333333334e-05
12,0.26994,0.129445,0.468317,0.380299,0.6803,1.0583,0.5224,0.8704,6.020833333333333e-05
13,0.236818,0.11501,0.406028,0.387149,0.6954,1.1127,0.472,0.8704,6.520833333333334e-05
14,0.22343,0.118897,0.348443,0.381561,0.7174,1.0966,0.4872,0.8889,7.020833333333334e-05
15,0.225616,0.12789,0.325755,0.322775,0.606,1.0362,0.5421,0.8519,7.520833333333334e-05
16,0.212122,0.127808,0.281044,0.381588,0.7095,1.1039,0.4803,0.8704,8.020833333333334e-05
17,0.192241,0.111747,0.268311,0.368555,0.6642,1.0823,0.5005,0.8148,8.520833333333334e-05
18,0.197569,0.120057,0.258374,0.324629,0.6415,0.9969,0.5762,0.8704,9.020833333333334e-05
19,0.151698,0.089749,0.206495,0.317663,0.6212,1.0277,0.5496,0.8704,9.520833333333333e-05
20,0.177794,0.122383,0.184704,0.358425,0.6615,1.0583,0.5224,0.8519,0.0001
21,0.180929,0.125117,0.186039,0.400844,0.7538,1.1298,0.4557,0.8704,9.999238475781957e-05
