epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.905488,0.69755,0.693129,1.058894,1.9009,2.4408,-1.5405,0.7963,2.604166666666667e-06
2,0.904993,0.697087,0.69302,1.057855,1.8995,2.439,-1.5368,0.7963,5.104166666666667e-06
3,0.903876,0.696032,0.692816,1.055563,1.8963,2.4348,-1.5281,0.7963,7.6041666666666666e-06
4,0.90161,0.693842,0.692561,1.05091,1.8896,2.4261,-1.5101,0.7963,1.0104166666666667e-05
5,0.8971,0.689444,0.692189,1.043344,1.8782,2.4116,-1.4801,0.7963,1.2604166666666667e-05
6,0.890989,0.683423,0.691885,1.03262,1.862,2.3909,-1.4377,0.7963,1.5104166666666667e-05
7,0.882505,0.675077,0.691425,1.018861,1.8406,2.3635,-1.3822,0.7963,1.760416666666667e-05
8,0.871825,0.66457,0.690849,1.001057,1.8123,2.3277,-1.3106,0.7963,2.010416666666667e-05
9,0.860353,0.653315,0.690126,0.979688,1.7773,2.2839,-1.2244,0.7963,2.260416666666667e-05
10,0.847977,0.641309,0.688895,0.955569,1.7362,2.2335,-1.1274,0.7963,2.5104166666666666e-05
11,0.833078,0.627019,0.686865,0.929662,1.6901,2.1782,-1.0233,0.7963,2.760416666666667e-05
12,0.819278,0.614293,0.683284,0.929782,1.6629,2.1749,-1.0172,0.8148,3.0104166666666665e-05
13,0.792031,0.589349,0.675608,0.885632,1.5782,2.0827,-0.8498,0.8704,3.260416666666667e-05
14,0.762676,0.563507,0.663897,0.807116,1.4451,1.9424,-0.609,0.8519,3.510416666666667e-05
15,0.715645,0.522547,0.64366,0.752804,1.3453,1.8361,-0.4376,0.9074,3.760416666666667e-05
16,0.660395,0.474599,0.619318,0.698036,1.2492,1.7229,-0.2659,0.8889,4.010416666666667e-05
17,0.612121,0.434832,0.590963,0.656741,1.1805,1.6452,-0.1543,0.8519,4.260416666666667e-05
18,0.551781,0.388511,0.544235,0.579053,1.0405,1.4714,0.0767,0.8704,4.510416666666667e-05
