epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.88985,0.681917,0.693109,0.958725,1.7322,2.2231,-1.1076,0.7963,5.208333333333334e-06
2,0.7993,0.591428,0.692908,0.762481,1.3318,1.7705,-0.3368,0.7963,1.0208333333333334e-05
3,0.654436,0.446721,0.692384,0.591225,0.9765,1.31,0.2682,0.7963,1.5208333333333333e-05
4,0.529342,0.322008,0.691114,0.532048,0.8572,1.1243,0.4609,0.7963,2.0208333333333334e-05
5,0.43025,0.223958,0.68764,0.481729,0.7723,1.0103,0.5647,0.8333,2.5208333333333334e-05
6,0.395857,0.19198,0.679591,0.484386,0.7662,1.0266,0.5506,0.8519,3.0208333333333334e-05
7,0.370491,0.171273,0.66406,0.413562,0.6216,0.879,0.6705,0.8519,3.520833333333334e-05
8,0.360605,0.168582,0.640077,0.418142,0.6579,0.9673,0.601,0.8519,4.020833333333334e-05
9,0.352085,0.170949,0.603789,0.373427,0.602,0.839,0.6998,0.8148,4.520833333333334e-05
10,0.316451,0.150775,0.552252,0.353456,0.5832,0.8896,0.6625,0.8333,5.020833333333333e-05
11,0.303372,0.154422,0.496502,0.362107,0.6233,0.874,0.6742,0.8333,5.520833333333334e-05
12,0.272748,0.141128,0.438735,0.344493,0.6195,0.9091,0.6475,0.8519,6.020833333333333e-05
13,0.235466,0.120181,0.384284,0.340979,0.6119,0.9021,0.653,0.8333,6.520833333333334e-05
14,0.224155,0.122595,0.338532,0.342057,0.6774,0.9198,0.6392,0.8704,7.020833333333334e-05
15,0.221916,0.133085,0.296102,0.305672,0.6057,0.8804,0.6694,0.8704,7.520833333333334e-05
16,0.20141,0.119848,0.271871,0.392861,0.7441,1.0468,0.5327,0.8333,8.020833333333334e-05
17,0.190997,0.119113,0.239614,0.372751,0.6793,1.022,0.5546,0.8333,8.520833333333334e-05
18,0.182211,0.120322,0.206294,0.355306,0.671,0.981,0.5896,0.8704,9.020833333333334e-05
19,0.167619,0.108979,0.195467,0.346524,0.6971,0.9965,0.5766,0.8704,9.520833333333333e-05
20,0.161547,0.110466,0.17027,0.314876,0.6255,0.9243,0.6357,0.8889,0.0001
21,0.139225,0.096208,0.143391,0.347153,0.6589,0.9862,0.5853,0.8889,9.999238475781957e-05
22,0.127144,0.087812,0.131107,0.381498,0.7216,1.0135,0.562,0.8704,9.99695413509548e-05
23,0.132714,0.095704,0.123364,0.316162,0.5859,0.9027,0.6525,0.8704,9.99314767377287e-05
24,0.147595,0.10002,0.158584,0.322191,0.5748,0.9358,0.6265,0.7963,9.987820251299122e-05
25,0.137083,0.099132,0.126502,0.307511,0.5473,0.8874,0.6642,0.8889,9.980973490458728e-05
26,0.129976,0.103466,0.088367,0.348143,0.6843,0.9757,0.594,0.8889,9.972609476841367e-05
27,0.127653,0.091459,0.120649,0.327913,0.5938,0.9199,0.6392,0.8889,9.962730758206611e-05
28,0.12693,0.104018,0.076373,0.356171,0.5946,0.9614,0.6059,0.8704,9.951340343707852e-05
29,0.092424,0.076539,0.052951,0.313766,0.5886,0.889,0.663,0.8704,9.938441702975689e-05
30,0.085979,0.069589,0.054633,0.409675,0.6821,1.0118,0.5635,0.8519,9.924038765061042e-05
31,0.112881,0.096021,0.056203,0.402814,0.7101,1.0484,0.5313,0.8519,9.908135917238321e-05
32,0.09456,0.083272,0.037627,0.345146,0.6291,0.9382,0.6246,0.8889,9.890738003669029e-05
33,0.091584,0.072352,0.064107,0.298635,0.5433,0.8129,0.7182,0.8889,9.871850323926177e-05
34,0.076332,0.06462,0.039041,0.331384,0.5319,0.8368,0.7014,0.8704,9.851478631379982e-05
35,0.060872,0.054786,0.020289,0.316206,0.5289,0.8167,0.7155,0.8519,9.829629131445342e-05
36,0.080307,0.064018,0.054298,0.363543,0.5684,0.8306,0.7058,0.8519,9.806308479691595e-05
37,0.116996,0.091105,0.086303,0.31875,0.5539,0.8763,0.6725,0.8519,9.781523779815179e-05
38,0.080521,0.065542,0.049931,0.334983,0.4848,0.7858,0.7367,0.8704,9.755282581475769e-05
39,0.061516,0.05282,0.028987,0.335994,0.5732,0.8535,0.6894,0.8889,9.727592877996585e-05
40,0.073991,0.065919,0.026906,0.299946,0.5144,0.8217,0.7121,0.8889,9.698463103929542e-05
41,0.070065,0.066637,0.011425,0.413102,0.6698,0.9606,0.6065,0.8333,9.667902132486009e-05
42,0.067736,0.060861,0.022917,0.350615,0.5714,0.8391,0.6998,0.8519,9.635919272833938e-05
43,0.073387,0.066524,0.022878,0.340667,0.5785,0.8245,0.7101,0.8519,9.602524267262203e-05
44,0.06973,0.055411,0.047731,0.389903,0.5663,0.8115,0.7191,0.8333,9.567727288213005e-05
45,0.053761,0.048896,0.016216,0.313375,0.4945,0.7371,0.7683,0.8704,9.53153893518325e-05
46,0.053246,0.049989,0.010857,0.319922,0.5398,0.7793,0.741,0.8704,9.493970231495835e-05
47,0.062572,0.059592,0.009934,0.321403,0.51,0.7414,0.7656,0.8889,9.45503262094184e-05
48,0.058901,0.055145,0.012519,0.307845,0.5304,0.7629,0.7518,0.8889,9.414737964294636e-05
49,0.047189,0.045852,0.004458,0.35781,0.5756,0.8468,0.6942,0.8704,9.373098535696979e-05
50,0.061496,0.055051,0.021484,0.337065,0.5388,0.8192,0.7138,0.8704,9.330127018922194e-05
51,0.066069,0.056334,0.032451,0.301988,0.5282,0.7953,0.7303,0.9074,9.285836503510562e-05
52,0.051106,0.048567,0.008461,0.296466,0.5514,0.7784,0.7416,0.8704,9.24024048078213e-05
53,0.052529,0.048891,0.012128,0.371658,0.5774,0.8319,0.7049,0.8519,9.193352839727121e-05
54,0.053139,0.048942,0.013992,0.317322,0.5365,0.7983,0.7283,0.8889,9.145187862775209e-05
55,0.048763,0.047011,0.005839,0.266916,0.4454,0.7279,0.7741,0.8889,9.09576022144496e-05
56,0.05302,0.049916,0.010348,0.315361,0.5701,0.8598,0.6848,0.9259,9.045084971874738e-05
57,0.045835,0.042954,0.009604,0.329695,0.4715,0.7624,0.7521,0.8704,8.993177550236464e-05
58,0.046602,0.042035,0.015224,0.334534,0.5454,0.7996,0.7274,0.8889,8.940053768033609e-05
59,0.047265,0.046137,0.003759,0.371227,0.5623,0.8652,0.6808,0.8704,8.885729807284856e-05
60,0.042222,0.041677,0.001817,0.340594,0.5207,0.8087,0.7211,0.8889,8.83022221559489e-05
61,0.036401,0.035804,0.001991,0.350312,0.5597,0.8217,0.7121,0.8889,8.773547901113862e-05
62,0.048338,0.047565,0.002578,0.309854,0.5166,0.7471,0.762,0.9074,8.715724127386972e-05
63,0.046099,0.041543,0.015184,0.309917,0.4882,0.6951,0.7939,0.9074,8.656768508095853e-05
64,0.037348,0.036703,0.00215,0.318124,0.4602,0.7025,0.7895,0.9074,8.596699001693255e-05
