epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.905172,0.697238,0.693111,1.057538,1.8989,2.4382,-1.535,0.7963,5.208333333333334e-06
2,0.901974,0.694124,0.692832,1.04932,1.8867,2.4224,-1.5023,0.7963,1.0208333333333334e-05
3,0.891944,0.684266,0.692258,1.026779,1.8524,2.3782,-1.4119,0.7963,1.5208333333333333e-05
4,0.869991,0.662637,0.691183,0.980596,1.7772,2.2837,-1.224,0.7963,2.0208333333333334e-05
5,0.833682,0.626883,0.689331,0.909136,1.6453,2.1284,-0.9319,0.7963,2.5208333333333334e-05
6,0.783004,0.578199,0.682685,0.811081,1.4468,1.9141,-0.5624,0.8704,3.0208333333333334e-05
7,0.700748,0.501759,0.663295,0.69847,1.2261,1.6649,-0.1821,0.8333,3.520833333333334e-05
8,0.585589,0.398241,0.624491,0.555045,0.9669,1.3403,0.234,0.8333,4.020833333333334e-05
9,0.422107,0.251884,0.567409,0.417044,0.7062,1.0757,0.5066,0.8333,4.520833333333334e-05
10,0.34984,0.196193,0.512156,0.434637,0.7456,1.1317,0.4538,0.7778,5.020833333333333e-05
11,0.286989,0.151597,0.451308,0.440907,0.7705,1.1494,0.4366,0.7407,5.520833333333334e-05
12,0.23836,0.11686,0.404999,0.405189,0.7168,1.0974,0.4865,0.7778,6.020833333333333e-05
13,0.212145,0.105276,0.35623,0.382027,0.6792,1.0924,0.4911,0.7778,6.520833333333334e-05
14,0.210734,0.11941,0.304412,0.410675,0.7403,1.1501,0.436,0.8148,7.020833333333334e-05
15,0.190655,0.10941,0.270818,0.36673,0.6677,1.1069,0.4775,0.8519,7.520833333333334e-05
16,0.169765,0.097859,0.239687,0.395454,0.729,1.1592,0.4269,0.8519,8.020833333333334e-05
17,0.203643,0.128519,0.250411,0.404719,0.7878,1.1869,0.3992,0.8704,8.520833333333334e-05
18,0.168758,0.099613,0.230481,0.344303,0.6737,1.0675,0.514,0.8704,9.020833333333334e-05
19,0.173673,0.109944,0.212428,0.402848,0.7735,1.153,0.433,0.8333,9.520833333333333e-05
20,0.166929,0.111163,0.185887,0.373266,0.7082,1.1189,0.4661,0.8148,0.0001
21,0.178482,0.114406,0.213587,0.358108,0.6789,1.1141,0.4707,0.8519,9.999238475781957e-05
22,0.118364,0.076849,0.138385,0.397195,0.716,1.146,0.44,0.8148,9.99695413509548e-05
23,0.145944,0.09168,0.18088,0.402618,0.7393,1.1633,0.4229,0.8148,9.99314767377287e-05
24,0.12371,0.086172,0.125125,0.386772,0.7075,1.1098,0.4748,0.8333,9.987820251299122e-05
25,0.136921,0.091879,0.15014,0.373152,0.6491,1.0783,0.5042,0.8333,9.980973490458728e-05
26,0.153048,0.103385,0.165544,0.444158,0.745,1.1433,0.4425,0.7963,9.972609476841367e-05
27,0.132918,0.088031,0.149623,0.383505,0.6686,1.0766,0.5057,0.8148,9.962730758206611e-05
28,0.125587,0.088865,0.122407,0.368009,0.6305,1.0396,0.5391,0.8148,9.951340343707852e-05
29,0.093432,0.068071,0.084538,0.367443,0.6607,1.0367,0.5417,0.8519,9.938441702975689e-05
30,0.081275,0.063034,0.060804,0.323753,0.5824,1.0095,0.5654,0.8704,9.924038765061042e-05
31,0.113579,0.083734,0.099484,0.358993,0.6061,1.0055,0.5689,0.8333,9.908135917238321e-05
