epoch,train_loss,val_mae,val_rmse,val_r2
1,3.871783,1.3335,1.7299,-0.2761
2,2.941514,1.2813,1.6226,-0.1228
3,2.617377,1.2036,1.5159,0.0201
4,2.433383,1.1391,1.4029,0.1607
5,2.31774,1.0669,1.3234,0.2531
6,2.09162,1.0036,1.2493,0.3344
7,1.766467,0.9084,1.1442,0.4417
8,1.499197,0.8509,1.0695,0.5123
9,1.371162,0.8018,1.0139,0.5616
10,1.34173,0.7908,1.0185,0.5576
11,1.251784,0.6905,0.883,0.6675
12,1.110403,0.8472,1.1185,0.4665
13,1.037223,0.796,0.9944,0.5783
14,0.985145,0.7053,0.917,0.6414
15,1.091632,0.7805,0.9977,0.5755
16,1.02372,0.7276,0.9694,0.5992
17,0.905393,0.7476,0.9757,0.594
18,1.044661,0.7343,0.9711,0.5979
19,1.000415,0.7414,0.9507,0.6146
20,0.89377,0.715,0.9407,0.6226
21,0.924572,0.7059,0.8935,0.6595
22,0.847297,0.6778,0.9219,0.6375
23,0.815212,0.7054,0.9271,0.6335
24,0.901803,0.6613,0.8963,0.6574
25,0.828995,0.6347,0.8282,0.7075
26,0.866162,0.6167,0.8206,0.7129
27,0.734247,0.6286,0.8377,0.7007
28,0.774956,0.6317,0.8792,0.6703
29,0.847808,0.6128,0.8131,0.7181
30,0.72282,0.669,0.914,0.6437
31,0.639067,0.5942,0.7484,0.7611
32,0.689697,0.6398,0.8888,0.6631
33,0.71861,0.6517,0.8628,0.6826
34,0.675322,0.5904,0.7848,0.7373
35,0.681234,0.5683,0.7662,0.7496
36,0.544425,0.5381,0.7567,0.7558
37,0.806396,0.5445,0.7555,0.7566
38,0.605175,0.497,0.7473,0.7618
39,0.636276,0.4992,0.6993,0.7915
40,0.580463,0.5596,0.7888,0.7347
41,0.665469,0.5435,0.7409,0.7659
42,0.474622,0.5695,0.7471,0.762
43,0.504901,0.5027,0.7356,0.7692
44,0.539103,0.5426,0.7439,0.764
45,0.621957,0.6314,0.778,0.7419
46,0.588451,0.5542,0.8227,0.7114
47,0.535179,0.5196,0.7518,0.759
48,0.652844,0.5274,0.7601,0.7536
49,0.435244,0.5205,0.7355,0.7693
50,0.4528,0.4661,0.6657,0.811
51,0.671922,0.5274,0.7598,0.7538
52,0.426742,0.4862,0.7244,0.7762
53,0.50133,0.5429,0.784,0.7379
54,0.406195,0.5722,0.7814,0.7396
55,0.558705,0.5049,0.7111,0.7844
56,0.46025,0.5332,0.7606,0.7533
57,0.515833,0.5337,0.7438,0.764
58,0.463729,0.4995,0.7632,0.7516
59,0.466847,0.5173,0.7451,0.7632
60,0.449155,0.5196,0.7197,0.7791
61,0.397724,0.5193,0.6919,0.7959
62,0.494139,0.5051,0.7147,0.7822
63,0.517518,0.5596,0.77,0.7472
64,0.429955,0.5367,0.7319,0.7716
65,0.430493,0.5314,0.7873,0.7357
