epoch,train_loss,val_mae,val_rmse,val_r2
1,3.193339,1.2451,1.5408,-0.0124
2,2.784312,1.1919,1.5048,0.0344
3,2.427907,1.1009,1.4135,0.148
4,2.177381,1.0455,1.3618,0.2092
5,1.800931,0.9291,1.2085,0.3772
6,1.42413,0.787,1.053,0.5272
7,1.155746,0.7526,1.0171,0.5589
8,1.017468,0.7423,0.973,0.5962
9,0.877932,0.6899,0.9695,0.5992
10,0.770286,0.6762,0.9597,0.6072
11,1.004993,0.7231,1.014,0.5615
12,0.84692,0.6384,0.9284,0.6325
13,0.709668,0.6631,0.9113,0.6459
14,0.60082,0.6558,0.9741,0.5953
15,0.638888,0.6682,0.9308,0.6305
16,0.670824,0.5603,0.7958,0.7299
17,0.552619,0.6001,0.8095,0.7205
18,0.561765,0.6162,0.8524,0.6901
19,0.486449,0.6442,0.9385,0.6244
20,0.574482,0.5915,0.8176,0.715
21,0.582247,0.6959,0.9573,0.6092
22,0.50605,0.578,0.8459,0.6948
23,0.496234,0.6615,0.9393,0.6237
24,0.431952,0.6034,0.8733,0.6748
25,0.500381,0.6201,0.905,0.6507
26,0.38147,0.6479,0.8524,0.6902
27,0.564838,0.6062,0.8642,0.6815
28,0.635013,0.6097,0.909,0.6477
29,0.517491,0.6959,0.9791,0.5912
30,0.474026,0.6226,0.8722,0.6756
31,0.356891,0.6302,0.9454,0.6188
