epoch,train_loss,val_mae,val_rmse,val_r2
1,3.288563,1.2444,1.5611,-0.0392
2,2.927619,1.2906,1.577,-0.0606
3,2.666678,1.2029,1.5005,0.0399
4,2.476305,1.1642,1.472,0.0759
5,2.174057,1.0503,1.3294,0.2464
6,1.629513,1.1299,1.4473,0.1067
7,1.336619,0.9063,1.1567,0.4294
8,1.133223,0.8648,1.1115,0.4732
9,1.090252,0.7706,1.0597,0.5211
10,0.900372,0.7661,1.073,0.509
11,0.886921,0.7891,1.1021,0.482
12,0.828752,0.689,0.9773,0.5927
13,0.812617,0.6673,0.9477,0.617
14,0.645554,0.7391,1.0015,0.5722
15,0.645685,0.6584,0.9456,0.6187
16,0.545667,0.7136,1.0123,0.563
17,0.607879,0.7248,0.9872,0.5844
18,0.629793,0.7616,1.0647,0.5166
19,0.577481,0.7703,1.0439,0.5353
20,0.609531,0.7205,1.0014,0.5724
21,0.547361,0.7785,1.0997,0.4843
22,0.588458,0.7294,0.9433,0.6205
23,0.517365,0.6873,0.9845,0.5867
24,0.435845,0.6606,0.9449,0.6193
25,0.565496,0.6909,0.9446,0.6195
26,0.511202,0.7291,0.9838,0.5873
27,0.42543,0.6784,1.0017,0.5721
28,0.46008,0.7757,1.0759,0.5063
29,0.482345,0.7285,0.9948,0.5779
30,0.405116,0.7013,1.0066,0.5679
