epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.905473,0.697533,0.693136,1.05882,1.9008,2.4406,-1.5402,0.7963,2.604166666666667e-06
2,0.904937,0.697016,0.69307,1.05767,1.8992,2.4385,-1.5358,0.7963,5.104166666666667e-06
3,0.903794,0.695912,0.692938,1.055674,1.8963,2.4348,-1.5281,0.7963,7.6041666666666666e-06
4,0.901878,0.694059,0.692733,1.052381,1.8916,2.4287,-1.5154,0.7963,1.0104166666666667e-05
5,0.898895,0.691156,0.692464,1.047187,1.8841,2.419,-1.4953,0.7963,1.2604166666666667e-05
6,0.894501,0.686893,0.692025,1.039603,1.8728,2.4045,-1.4655,0.7963,1.5104166666666667e-05
7,0.887899,0.680424,0.691586,1.029045,1.8568,2.384,-1.4236,0.7963,1.760416666666667e-05
8,0.880125,0.672801,0.691081,1.014061,1.8336,2.3545,-1.3641,0.7963,2.010416666666667e-05
9,0.869116,0.662002,0.690379,0.99487,1.8032,2.3162,-1.2878,0.7963,2.260416666666667e-05
10,0.855557,0.6487,0.68952,0.970464,1.7629,2.2661,-1.1899,0.7963,2.5104166666666666e-05
11,0.843621,0.63717,0.68817,0.941828,1.7135,2.2065,-1.0762,0.7963,2.760416666666667e-05
12,0.830349,0.624437,0.686373,0.91294,1.662,2.1449,-0.9619,0.7963,3.0104166666666665e-05
13,0.81791,0.612881,0.683432,0.888836,1.6193,2.0944,-0.8707,0.7963,3.260416666666667e-05
14,0.815921,0.611806,0.680385,0.869448,1.5854,2.0551,-0.801,0.7963,3.510416666666667e-05
15,0.809619,0.607062,0.675191,0.855731,1.563,2.0322,-0.7612,0.7963,3.760416666666667e-05
16,0.79965,0.59878,0.669566,0.837991,1.5345,2.0019,-0.7089,0.7963,4.010416666666667e-05
17,0.791155,0.592558,0.661988,0.821479,1.509,1.9754,-0.664,0.7963,4.260416666666667e-05
18,0.779671,0.583105,0.655219,0.801431,1.4781,1.9426,-0.6093,0.7963,4.510416666666667e-05
19,0.763111,0.569087,0.646746,0.784462,1.4513,1.9166,-0.5665,0.7963,4.760416666666667e-05
20,0.752588,0.56296,0.632095,0.759935,1.4097,1.8774,-0.5031,0.7963,5e-05
21,0.732706,0.54774,0.616551,0.720746,1.3458,1.8063,-0.3914,0.8333,4.9996192378909786e-05
22,0.702218,0.523392,0.596088,0.684398,1.2828,1.7394,-0.2903,0.8333,4.99847706754774e-05
23,0.669229,0.497625,0.572013,0.636169,1.2005,1.6349,-0.1398,0.8333,4.996573836886435e-05
24,0.63541,0.469596,0.552715,0.617578,1.1643,1.589,-0.0768,0.8519,4.993910125649561e-05
25,0.596988,0.439545,0.524808,0.568057,1.0844,1.4623,0.0881,0.8148,4.990486745229364e-05
26,0.55335,0.405241,0.493696,0.537734,1.0409,1.3834,0.1839,0.7963,4.9863047384206835e-05
27,0.516048,0.371443,0.482017,0.522685,1.0085,1.3439,0.2298,0.7778,4.9813653791033057e-05
28,0.475914,0.338997,0.456393,0.480575,0.936,1.2492,0.3345,0.7963,4.975670171853926e-05
29,0.475041,0.33696,0.46027,0.466134,0.9021,1.2151,0.3704,0.8148,4.9692208514878444e-05
30,0.438645,0.30248,0.453882,0.473118,0.8953,1.1974,0.3886,0.7963,4.962019382530521e-05
31,0.426226,0.291948,0.447593,0.439155,0.8475,1.158,0.4282,0.7963,4.9540679586191605e-05
32,0.415346,0.284956,0.434633,0.426604,0.7957,1.1078,0.4766,0.8148,4.9453690018345144e-05
33,0.395025,0.266261,0.429216,0.439835,0.8176,1.113,0.4717,0.7963,4.9359251619630886e-05
34,0.383942,0.260103,0.412797,0.410924,0.793,1.0913,0.4921,0.8148,4.925739315689991e-05
35,0.384113,0.255245,0.429561,0.392982,0.7363,1.0424,0.5366,0.7963,4.914814565722671e-05
36,0.375831,0.25144,0.414638,0.380827,0.7291,1.0239,0.5529,0.8333,4.9031542398457974e-05
37,0.368423,0.24522,0.410677,0.405773,0.7628,1.0275,0.5498,0.7778,4.890761889907589e-05
38,0.341375,0.222774,0.395338,0.388455,0.7468,1.0511,0.5288,0.7963,4.877641290737884e-05
39,0.353456,0.235473,0.393274,0.37396,0.7114,1.0098,0.5652,0.8333,4.8637964389982926e-05
40,0.326864,0.210921,0.386477,0.366695,0.6861,1.0078,0.5669,0.8333,4.849231551964771e-05
41,0.314639,0.204211,0.368095,0.385842,0.712,1.0302,0.5474,0.8333,4.8339510662430046e-05
42,0.354741,0.23285,0.406306,0.370442,0.6902,1.009,0.5659,0.8148,4.817959636416969e-05
43,0.328959,0.211156,0.392674,0.3502,0.6677,0.9791,0.5912,0.8333,4.8012621336311016e-05
44,0.304474,0.194432,0.36681,0.336402,0.6458,0.9583,0.6084,0.8889,4.783863644106502e-05
45,0.295635,0.189876,0.35253,0.322556,0.6228,0.9343,0.6278,0.8333,4.765769467591625e-05
46,0.293763,0.188909,0.349513,0.33925,0.6398,0.9489,0.616,0.8519,4.7469851157479177e-05
47,0.309989,0.200257,0.365774,0.328937,0.6375,0.9462,0.6182,0.8333,4.72751631047092e-05
48,0.284127,0.178773,0.351181,0.320969,0.6224,0.948,0.6168,0.8333,4.707368982147318e-05
49,0.308689,0.201089,0.358666,0.321197,0.6088,0.947,0.6176,0.8148,4.6865492678484895e-05
50,0.284363,0.181701,0.342205,0.344451,0.6581,0.9518,0.6137,0.8519,4.665063509461097e-05
51,0.272013,0.174407,0.325354,0.308961,0.5947,0.9264,0.634,0.8333,4.642918251755281e-05
52,0.297562,0.185678,0.372944,0.3083,0.5811,0.9231,0.6366,0.8148,4.620120240391065e-05
53,0.285903,0.186679,0.330747,0.300168,0.5605,0.8922,0.6606,0.8148,4.5966764198635606e-05
54,0.297409,0.192601,0.349359,0.294933,0.5714,0.8736,0.6745,0.8148,4.572593931387604e-05
55,0.298407,0.19482,0.345289,0.311035,0.5968,0.9034,0.652,0.8148,4.54788011072248e-05
56,0.271145,0.177635,0.311701,0.316285,0.6005,0.8969,0.6569,0.8333,4.522542485937369e-05
57,0.268641,0.169705,0.329786,0.319497,0.6082,0.9137,0.644,0.8519,4.496588775118232e-05
58,0.249379,0.157469,0.306366,0.317981,0.6013,0.9031,0.6522,0.8148,4.4700268840168045e-05
59,0.244284,0.15555,0.295781,0.309309,0.5757,0.8908,0.6616,0.7963,4.442864903642428e-05
60,0.267087,0.174248,0.309465,0.316118,0.6007,0.9022,0.6529,0.7963,4.415111107797445e-05
61,0.247522,0.162218,0.284346,0.31007,0.5924,0.8939,0.6592,0.8148,4.386773950556931e-05
62,0.235434,0.147411,0.29341,0.314797,0.5939,0.9098,0.647,0.7963,4.357862063693486e-05
63,0.278028,0.184791,0.310792,0.341751,0.6406,0.9605,0.6066,0.7963,4.3283842540479264e-05
64,0.276883,0.188983,0.293,0.329008,0.6178,0.9394,0.6237,0.8333,4.2983495008466276e-05
65,0.255,0.168115,0.289617,0.314195,0.5893,0.8992,0.6552,0.7778,4.267766952966369e-05
66,0.263066,0.180802,0.274214,0.318518,0.5863,0.9091,0.6475,0.7963,4.2366459261474933e-05
67,0.227396,0.150202,0.257313,0.32031,0.5851,0.9069,0.6493,0.7963,4.2049959001562464e-05
68,0.240219,0.160506,0.265707,0.304571,0.5668,0.8766,0.6723,0.8333,4.172826515897146e-05
69,0.232733,0.155283,0.258165,0.307254,0.5675,0.8832,0.6674,0.8148,4.140147572476268e-05
