epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.905136,0.697199,0.693124,1.057191,1.8984,2.4375,-1.5337,0.7963,5.208333333333334e-06
2,0.901442,0.693566,0.692921,1.047467,1.884,2.4188,-1.4949,0.7963,1.0208333333333334e-05
3,0.890366,0.682581,0.692614,1.024104,1.8484,2.3724,-1.4001,0.7963,1.5208333333333333e-05
4,0.869132,0.661528,0.692013,0.97429,1.7672,2.27,-1.1974,0.7963,2.0208333333333334e-05
5,0.837823,0.630598,0.690749,0.910813,1.6522,2.1297,-0.9342,0.7963,2.5208333333333334e-05
6,0.818764,0.612356,0.688028,0.87461,1.584,2.0551,-0.801,0.7963,3.0208333333333334e-05
7,0.797094,0.592816,0.680926,0.803253,1.4499,1.9102,-0.556,0.7963,3.520833333333334e-05
8,0.773008,0.572514,0.668312,0.751352,1.347,1.8264,-0.4224,0.7963,4.020833333333334e-05
9,0.748384,0.554805,0.645264,0.68291,1.2497,1.6505,-0.1617,0.8148,4.520833333333334e-05
10,0.732237,0.543813,0.628079,0.641038,1.1727,1.6137,-0.1104,0.8333,5.020833333333333e-05
11,0.720392,0.53488,0.618371,0.701593,1.2771,1.7672,-0.3317,0.8519,5.520833333333334e-05
12,0.635777,0.462045,0.579108,0.635018,1.1774,1.57,-0.0512,0.8519,6.020833333333333e-05
13,0.551263,0.389287,0.53992,0.580464,1.0662,1.4144,0.1469,0.8519,6.520833333333334e-05
14,0.45396,0.304969,0.496639,0.437211,0.7984,1.1046,0.4797,0.8333,7.020833333333334e-05
15,0.415182,0.272875,0.474355,0.37103,0.6982,0.9474,0.6172,0.8704,7.520833333333334e-05
16,0.36714,0.236047,0.436977,0.374172,0.7058,0.9657,0.6023,0.8889,8.020833333333334e-05
17,0.356557,0.230764,0.419311,0.391034,0.7349,0.9689,0.5997,0.8889,8.520833333333334e-05
18,0.333224,0.218524,0.382333,0.351306,0.6908,0.9447,0.6194,0.8519,9.020833333333334e-05
19,0.3297,0.215139,0.381873,0.29786,0.5698,0.8655,0.6806,0.8704,9.520833333333333e-05
20,0.281176,0.166009,0.383888,0.355261,0.6743,0.9299,0.6313,0.8704,0.0001
21,0.315298,0.200535,0.382544,0.307886,0.6157,0.873,0.675,0.8704,9.999238475781957e-05
22,0.31828,0.197758,0.401739,0.336729,0.638,0.9163,0.642,0.7963,9.99695413509548e-05
23,0.283414,0.181574,0.339466,0.30851,0.6208,0.8759,0.6728,0.8704,9.99314767377287e-05
24,0.27839,0.175083,0.344358,0.267857,0.5455,0.7774,0.7423,0.9074,9.987820251299122e-05
25,0.25607,0.159458,0.32204,0.360414,0.7029,0.9295,0.6316,0.8333,9.980973490458728e-05
26,0.28647,0.179083,0.357956,0.413356,0.8277,1.0482,0.5315,0.8519,9.972609476841367e-05
27,0.291635,0.197344,0.314304,0.313369,0.6171,0.8436,0.6965,0.8704,9.962730758206611e-05
28,0.243163,0.154566,0.295322,0.270754,0.5535,0.7742,0.7444,0.8519,9.951340343707852e-05
29,0.275993,0.187349,0.295477,0.274104,0.5674,0.7901,0.7338,0.8519,9.938441702975689e-05
30,0.262168,0.170844,0.304414,0.311363,0.6223,0.8569,0.6869,0.8704,9.924038765061042e-05
31,0.254566,0.163987,0.301929,0.270836,0.5392,0.7657,0.7499,0.8704,9.908135917238321e-05
32,0.231191,0.142476,0.295715,0.272384,0.5584,0.7508,0.7596,0.8704,9.890738003669029e-05
33,0.244564,0.164021,0.268474,0.272959,0.5509,0.7772,0.7424,0.8519,9.871850323926177e-05
34,0.223912,0.145958,0.259847,0.340266,0.6925,0.9284,0.6324,0.8704,9.851478631379982e-05
35,0.255416,0.17306,0.274519,0.299086,0.6119,0.8268,0.7085,0.8889,9.829629131445342e-05
36,0.200486,0.128679,0.239355,0.280276,0.5887,0.7992,0.7276,0.8519,9.806308479691595e-05
37,0.193127,0.127377,0.219167,0.30325,0.6252,0.8407,0.6986,0.8704,9.781523779815179e-05
38,0.208717,0.142286,0.221437,0.362945,0.6956,0.912,0.6453,0.8333,9.755282581475769e-05
39,0.220133,0.14234,0.259312,0.334503,0.6237,0.8942,0.659,0.8333,9.727592877996585e-05
40,0.174151,0.112688,0.204876,0.328352,0.5939,0.8797,0.67,0.8704,9.698463103929542e-05
41,0.193936,0.135937,0.193333,0.336088,0.6203,0.8964,0.6573,0.8704,9.667902132486009e-05
42,0.191666,0.132708,0.196528,0.314676,0.5885,0.8255,0.7094,0.8519,9.635919272833938e-05
43,0.170233,0.117388,0.176149,0.337367,0.6356,0.8621,0.683,0.8333,9.602524267262203e-05
44,0.199966,0.13991,0.200186,0.289273,0.5781,0.8115,0.7192,0.8704,9.567727288213005e-05
45,0.165781,0.104339,0.204807,0.333655,0.6225,0.8744,0.6739,0.8889,9.53153893518325e-05
46,0.171738,0.129176,0.141874,0.290221,0.5469,0.7677,0.7486,0.8704,9.493970231495835e-05
47,0.148226,0.106567,0.138866,0.302497,0.5545,0.7778,0.742,0.8519,9.45503262094184e-05
48,0.159704,0.119597,0.133692,0.282323,0.5338,0.72,0.7789,0.8519,9.414737964294636e-05
49,0.140665,0.099602,0.136876,0.301364,0.5804,0.7983,0.7282,0.8889,9.373098535696979e-05
50,0.116188,0.090376,0.086041,0.262669,0.4874,0.696,0.7934,0.8704,9.330127018922194e-05
51,0.114622,0.087443,0.090596,0.282934,0.5294,0.7225,0.7774,0.8519,9.285836503510562e-05
52,0.10483,0.074004,0.102754,0.305149,0.5685,0.7629,0.7518,0.8519,9.24024048078213e-05
53,0.134085,0.102474,0.105369,0.368728,0.6277,0.9306,0.6307,0.8333,9.193352839727121e-05
54,0.099599,0.077432,0.07389,0.34651,0.5483,0.8153,0.7165,0.8148,9.145187862775209e-05
55,0.101666,0.074466,0.09067,0.33931,0.5257,0.8264,0.7088,0.8148,9.09576022144496e-05
56,0.107112,0.089802,0.057697,0.343884,0.5718,0.8824,0.6679,0.8519,9.045084971874738e-05
57,0.128113,0.090765,0.124494,0.367975,0.5733,0.8881,0.6637,0.8519,8.993177550236464e-05
58,0.107345,0.085419,0.073084,0.408583,0.6252,0.9125,0.6449,0.8333,8.940053768033609e-05
59,0.107237,0.091074,0.053879,0.333772,0.5341,0.8479,0.6934,0.8519,8.885729807284856e-05
60,0.099278,0.080336,0.063142,0.322175,0.5349,0.7875,0.7355,0.8333,8.83022221559489e-05
61,0.100061,0.078114,0.073159,0.378863,0.5857,0.9092,0.6475,0.8148,8.773547901113862e-05
62,0.074672,0.063728,0.036481,0.44715,0.6477,0.9269,0.6336,0.7778,8.715724127386972e-05
63,0.121822,0.095242,0.088601,0.364727,0.5967,0.8379,0.7006,0.8333,8.656768508095853e-05
64,0.068171,0.057488,0.03561,0.417708,0.637,0.9884,0.5834,0.8148,8.596699001693255e-05
65,0.09992,0.078915,0.070017,0.433064,0.6718,0.9944,0.5783,0.8333,8.535533905932738e-05
66,0.088615,0.073295,0.051065,0.389112,0.5937,0.8619,0.6832,0.7778,8.473291852294987e-05
67,0.108695,0.086518,0.073924,0.356532,0.5839,0.8319,0.7049,0.8333,8.409991800312493e-05
68,0.106535,0.086249,0.067618,0.399462,0.6117,0.8692,0.6778,0.7778,8.345653031794292e-05
69,0.103925,0.080596,0.077766,0.39454,0.5714,0.8446,0.6958,0.7778,8.280295144952536e-05
70,0.08797,0.063839,0.080438,0.362639,0.581,0.8041,0.7242,0.8333,8.213938048432697e-05
71,0.079004,0.065817,0.043956,0.360271,0.529,0.7791,0.7411,0.8333,8.146601955249188e-05
72,0.085714,0.071508,0.047354,0.346327,0.5264,0.7669,0.7492,0.8333,8.07830737662829e-05
73,0.091208,0.078671,0.04179,0.341283,0.5302,0.81,0.7202,0.8519,8.009075115760243e-05
74,0.081257,0.074353,0.023014,0.335375,0.4903,0.7668,0.7492,0.8519,7.938926261462366e-05
75,0.087263,0.073934,0.044431,0.295421,0.4675,0.7629,0.7518,0.8519,7.86788218175523e-05
76,0.065595,0.059186,0.021366,0.286789,0.4403,0.7107,0.7846,0.8704,7.795964517353735e-05
77,0.066985,0.058967,0.026728,0.308501,0.4604,0.729,0.7734,0.8704,7.723195175075136e-05
78,0.072863,0.067901,0.016541,0.351541,0.5533,0.7799,0.7406,0.8333,7.649596321166024e-05
79,0.070425,0.064206,0.020731,0.338298,0.5399,0.7836,0.7382,0.8333,7.575190374550272e-05
80,0.07587,0.070868,0.016675,0.322747,0.4949,0.7455,0.763,0.8704,7.500000000000001e-05
81,0.083659,0.074211,0.031494,0.391678,0.5725,0.8653,0.6807,0.8148,7.424048101231686e-05
82,0.05396,0.051061,0.009663,0.307992,0.4745,0.7352,0.7695,0.8519,7.347357813929454e-05
83,0.069718,0.063412,0.02102,0.319877,0.5065,0.7881,0.7352,0.8704,7.269952498697734e-05
84,0.070688,0.061141,0.031823,0.274689,0.4475,0.7337,0.7705,0.8889,7.191855733945387e-05
85,0.06236,0.054925,0.024783,0.334082,0.4919,0.752,0.7588,0.8519,7.113091308703498e-05
86,0.103005,0.092261,0.035815,0.358686,0.5407,0.8223,0.7116,0.8704,7.033683215379002e-05
87,0.055176,0.052498,0.008927,0.348448,0.5279,0.8147,0.717,0.8704,6.953655642446368e-05
88,0.056303,0.053907,0.007987,0.303641,0.4746,0.7435,0.7643,0.8704,6.873032967079561e-05
89,0.062009,0.056289,0.019067,0.498571,0.613,0.9748,0.5948,0.7593,6.7918397477265e-05
90,0.068976,0.055584,0.044639,0.338266,0.5198,0.7868,0.736,0.8889,6.710100716628344e-05
91,0.073209,0.061461,0.039159,0.328096,0.4694,0.7232,0.7769,0.8519,6.627840772285784e-05
92,0.049371,0.046178,0.010645,0.346024,0.5196,0.7926,0.7321,0.8519,6.545084971874738e-05
93,0.06899,0.057891,0.036998,0.342439,0.5176,0.7707,0.7467,0.8333,6.461858523613684e-05
94,0.053666,0.051232,0.008113,0.347163,0.5266,0.8142,0.7173,0.8519,6.378186779084995e-05
